                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96967,                0.99832,                      1,                 2.8492,              0.0033332,              0.0033332,              0.0033332
                      2,                0.24058,                0.99978,                      1,                 2.8452,              0.0064465,              0.0064465,              0.0064465
                      3,                0.27915,                0.99986,                      1,                 2.8452,              0.0093398,              0.0093398,              0.0093398
                      4,                0.24462,                0.99972,                      1,                 2.8527,                0.00901,                0.00901,                0.00901
                      5,                0.18566,                0.99988,                      1,                 2.8519,                0.00901,                0.00901,                0.00901
                      6,                0.15854,                0.99994,                      1,                 2.8472,                0.00868,                0.00868,                0.00868
                      7,                0.14999,                0.99997,                      1,                 2.8456,                0.00835,                0.00835,                0.00835
                      8,                0.13889,                0.99997,                      1,                  2.845,                0.00802,                0.00802,                0.00802
                      9,                 0.1298,                0.99997,                      1,                 2.8446,                0.00769,                0.00769,                0.00769
                     10,                0.12528,                      1,                      1,                 2.8444,                0.00736,                0.00736,                0.00736
                     11,                0.11706,                      1,                      1,                 2.8444,                0.00703,                0.00703,                0.00703
                     12,                0.11239,                      1,                      1,                 2.8443,                 0.0067,                 0.0067,                 0.0067
                     13,                0.10361,                      1,                      1,                 2.8443,                0.00637,                0.00637,                0.00637
                     14,                0.09783,                      1,                      1,                 2.8443,                0.00604,                0.00604,                0.00604
                     15,                 0.0929,                      1,                      1,                 2.8442,                0.00571,                0.00571,                0.00571
                     16,                 0.0881,                      1,                      1,                 2.8442,                0.00538,                0.00538,                0.00538
                     17,                0.08193,                      1,                      1,                 2.8442,                0.00505,                0.00505,                0.00505
                     18,                0.07944,                      1,                      1,                 2.8442,                0.00472,                0.00472,                0.00472
                     19,                0.07309,                      1,                      1,                 2.8442,                0.00439,                0.00439,                0.00439
                     20,                0.06866,                      1,                      1,                 2.8442,                0.00406,                0.00406,                0.00406
                     21,                0.06276,                      1,                      1,                 2.8442,                0.00373,                0.00373,                0.00373
                     22,                 0.0578,                      1,                      1,                 2.8442,                 0.0034,                 0.0034,                 0.0034
                     23,                0.05237,                      1,                      1,                 2.8442,                0.00307,                0.00307,                0.00307
                     24,                 0.0475,                      1,                      1,                 2.8442,                0.00274,                0.00274,                0.00274
                     25,                0.04114,                      1,                      1,                 2.8442,                0.00241,                0.00241,                0.00241
                     26,                0.03611,                      1,                      1,                 2.8442,                0.00208,                0.00208,                0.00208
                     27,                  0.029,                      1,                      1,                 2.8442,                0.00175,                0.00175,                0.00175
                     28,                0.02521,                      1,                      1,                 2.8442,                0.00142,                0.00142,                0.00142
                     29,                0.02069,                      1,                      1,                 2.8442,                0.00109,                0.00109,                0.00109
                     30,                0.01637,                      1,                      1,                 2.8442,                0.00076,                0.00076,                0.00076
