                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6051,                 3.7181,                 1.9522,                0.02222,                0.03261,                0.01464,                 0.0069,                 2.3419,                 3.3971,                 1.8362,                      0,                      0,                      0
                      2,                 2.5932,                 3.8499,                 1.8905,                0.04369,                0.04891,                0.02995,                0.01666,                 2.2271,                 3.2745,                 1.7789,              1.634e-05,              1.634e-05,              1.634e-05
                      3,                   2.51,                 3.5738,                 1.7896,                0.14477,                0.18246,                0.11147,                0.05954,                 2.0346,                 3.0076,                 1.7164,              3.202e-05,              3.202e-05,              3.202e-05
                      4,                 2.4042,                 3.2147,                 1.6495,                 0.2882,                0.57643,                0.26265,                0.13843,                 1.7619,                 2.5796,                 1.6583,             4.7039e-05,             4.7039e-05,             4.7039e-05
                      5,                 1.9169,                 2.3424,                  1.439,                0.55806,                0.51987,                0.56629,                0.30098,                 1.4722,                 2.0006,                 1.6079,             6.1399e-05,             6.1399e-05,             6.1399e-05
                      6,                 1.4716,                 1.6522,                  1.268,                0.61557,                0.56241,                0.64437,                0.38465,                 1.3383,                  1.549,                 1.5263,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      7,                 1.2607,                 1.2411,                 1.2355,                0.79133,                0.56925,                0.71028,                0.43744,                  1.391,                 1.7295,                 1.3918,             8.8138e-05,             8.8138e-05,             8.8138e-05
                      8,                 1.2123,                 1.0739,                 1.0964,                0.80927,                0.58647,                0.77418,                   0.45,                 1.4769,                 2.1071,                  1.276,             0.00010052,             0.00010052,             0.00010052
                      9,                 1.1388,                0.99166,                 1.0759,                0.85398,                0.65281,                 0.8171,                0.46595,                 1.5098,                 1.7834,                  1.215,             0.00011224,             0.00011224,             0.00011224
                     10,                 1.1119,                0.98635,                 1.0782,                0.78955,                0.70567,                0.83449,                0.55341,                 1.3173,                  1.422,                 1.1664,             0.00012329,             0.00012329,             0.00012329
                     11,                 1.0627,                0.84092,                 1.0568,                0.76883,                0.85395,                0.87759,                0.59403,                 1.1357,                 1.2238,                 1.1123,             0.00013369,             0.00013369,             0.00013369
                     12,                 0.9876,                0.84471,                 1.0267,                0.84635,                0.91304,                0.92964,                0.60437,                 1.0393,                 1.0699,                 1.0641,             0.00014343,             0.00014343,             0.00014343
                     13,                0.91481,                0.75314,                0.97708,                0.91815,                0.92935,                0.96721,                0.66147,                0.96343,                 1.1553,                 1.0223,             0.00015251,             0.00015251,             0.00015251
                     14,                0.87115,                0.69373,                0.98046,                0.94813,                0.96196,                0.97961,                0.71127,                0.91704,                 1.0874,                0.99068,             0.00016093,             0.00016093,             0.00016093
                     15,                 0.8308,                0.66154,                 0.9621,                 0.9677,                0.95573,                0.98304,                0.75509,                0.86168,                0.92841,                0.96751,             0.00016869,             0.00016869,             0.00016869
                     16,                 0.8449,                0.63676,                0.97481,                0.98456,                0.96196,                0.98833,                0.74613,                0.83849,                 0.9689,                0.94956,             0.00017579,             0.00017579,             0.00017579
                     17,                0.83052,                0.64931,                0.94351,                0.98719,                0.97634,                0.98914,                0.73151,                0.86856,                0.95508,                 0.9433,             0.00018222,             0.00018222,             0.00018222
                     18,                0.84525,                0.63971,                0.94818,                0.98719,                0.97634,                0.98914,                0.73151,                0.86856,                0.95508,                 0.9433,               0.000188,               0.000188,               0.000188
                     19,                0.81814,                0.60691,                0.93339,                0.98928,                0.97723,                0.99426,                0.73485,                0.87394,                 0.8047,                0.94133,             0.00019312,             0.00019312,             0.00019312
                     20,                0.80598,                0.61515,                0.93493,                0.98928,                0.97723,                0.99426,                0.73485,                0.87394,                 0.8047,                0.94133,             0.00019758,             0.00019758,             0.00019758
                     21,                0.81988,                0.62898,                0.93131,                0.99566,                      1,                0.99497,                0.75133,                0.87139,                0.73347,                0.93903,             0.00020137,             0.00020137,             0.00020137
                     22,                0.78171,                 0.5356,                0.91377,                0.99566,                      1,                0.99497,                0.75133,                0.87139,                0.73347,                0.93903,             0.00020451,             0.00020451,             0.00020451
                     23,                0.77603,                0.55672,                0.92444,                0.99754,                      1,                  0.995,                 0.7558,                0.82879,                0.83447,                0.93163,             0.00020699,             0.00020699,             0.00020699
                     24,                 0.7481,                0.53207,                0.92193,                0.99754,                      1,                  0.995,                 0.7558,                0.82879,                0.83447,                0.93163,             0.00020881,             0.00020881,             0.00020881
                     25,                0.78917,                0.55937,                0.90689,                0.99837,                      1,                  0.995,                0.76542,                0.86585,                0.77267,                0.93639,             0.00020996,             0.00020996,             0.00020996
