                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9415,                 3.9433,                 1.9794,                      0,                      0,                      0,                      0,                 2.3014,                 3.9454,                  1.571,                      0,                      0,                      0
                      2,                 2.9264,                 3.9547,                 1.9206,                      0,                      0,                      0,                      0,                 2.2963,                  3.944,                 1.5766,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 3.0582,                 3.9658,                 1.9382,                      0,                      0,                      0,                      0,                 2.3831,                 3.9448,                 1.6287,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                 2.5249,                 3.9082,                 1.7718,                      0,                      0,                      0,                      0,                 2.5366,                 3.9449,                 1.7387,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 2.5371,                 3.9216,                 1.6747,                      0,                      0,                      0,                      0,                 2.6873,                 3.9435,                 1.8886,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 3.1546,                 3.9074,                 1.8363,                      0,                      0,                      0,                      0,                 2.7369,                   3.94,                 1.9933,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                 2.3079,                 3.8351,                 1.5854,                      0,                      0,                      0,                      0,                 2.7261,                 3.9331,                  2.009,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                 2.2134,                 3.8133,                 1.4593,                      0,                      0,                      0,                      0,                 2.6097,                 3.9074,                 1.9084,              0.0001086,              0.0001086,              0.0001086
                      9,                 1.8033,                 3.7186,                 1.4578,                      0,                      0,                      0,                      0,                 2.5123,                 3.8741,                 1.8138,              0.0001228,              0.0001228,              0.0001228
                     10,                 1.6538,                 3.6194,                 1.2817,                0.03125,                0.07031,                 0.0179,                0.00429,                 2.3008,                 3.8449,                 1.6577,             0.00013666,             0.00013666,             0.00013666
                     11,                 1.5722,                 3.5228,                 1.3603,                0.08108,                0.23438,                0.05985,                0.01701,                 2.0417,                 3.8089,                 1.4947,              0.0001502,              0.0001502,              0.0001502
                     12,                 1.4855,                 3.5111,                 1.2564,                0.11725,                0.33984,                0.09933,                0.03554,                 1.7976,                 3.7704,                 1.3242,              0.0001634,              0.0001634,              0.0001634
                     13,                 1.7003,                 3.3687,                 1.2113,                0.12017,                0.33984,                 0.1016,                0.04959,                 1.5566,                 3.7035,                 1.1657,             0.00017628,             0.00017628,             0.00017628
                     14,                 1.6184,                 3.2639,                 1.1731,                0.12712,                0.35156,                0.10875,                0.06077,                 1.4199,                  3.639,                 1.0747,             0.00018882,             0.00018882,             0.00018882
                     15,                 1.7314,                 3.1301,                 1.1475,                0.09531,                0.25391,                0.07228,                0.04501,                 1.3461,                 3.5634,                 1.0282,             0.00020103,             0.00020103,             0.00020103
                     16,                  1.645,                 3.0062,                  1.146,                 0.0787,                0.19922,                0.05522,                0.03755,                 1.2848,                 3.4867,                0.99063,             0.00021292,             0.00021292,             0.00021292
                     17,                 1.4066,                 2.7297,                  1.123,                0.02201,                0.05469,                0.02894,                0.02091,                  1.203,                 3.4198,                 0.9621,             0.00022447,             0.00022447,             0.00022447
                     18,                 1.3147,                 2.7136,                 1.0882,                0.02201,                0.05469,                0.02894,                0.02091,                  1.203,                 3.4198,                 0.9621,              0.0002357,              0.0002357,              0.0002357
                     19,                  1.336,                  2.776,                 1.1121,                0.12384,                0.41797,                 0.3757,                0.24267,                 1.1773,                 3.3361,                0.95333,             0.00024659,             0.00024659,             0.00024659
                     20,                 1.3903,                 2.5233,                 1.1295,                0.12384,                0.41797,                 0.3757,                0.24267,                 1.1773,                 3.3361,                0.95333,             0.00025715,             0.00025715,             0.00025715
                     21,                 1.3278,                 2.3972,                 1.0827,                0.13774,                0.49609,                0.44548,                0.28364,                 1.2173,                 3.2112,                0.95453,             0.00026739,             0.00026739,             0.00026739
